Applicant ID,Gender,Marital Status,Age,Employment Status,Employment History (Years),Annual Income,Co-applicant Income,Loan Amount Requested,Loan Term (Months),Credit History,Credit Score,Existing Loan EMI,Debt-to-Income Ratio,Property Area,Approval Status
d97b74d8-fe58-470f-a247-10eb3261dc32,Male,Single,38,Employed,11,93786,43733,57604,360,0,349,515,0.17,Rural,1
8a196bf0-da41-40cb-9f10-8966c8ced8c9,Male,Single,51,Self-employed,1,64181,28775,485041,180,1,516,1660,0.3,Semi-Urban,1
4533c308-6a1d-4098-be93-d24d9038aef5,Female,Single,58,Self-employed,22,65055,34014,121115,60,2,760,1476,0.36,Rural,1
24339a68-f0ec-4f0c-aa6b-7b37941f9ae2,Female,Married,41,Self-employed,16,137445,6402,305655,240,2,398,854,0.26,Semi-Urban,1
a6e49169-0f05-44ab-ba48-75143b99742b,Female,Single,50,Self-employed,0,84672,40642,387347,300,1,523,1928,0.18,Rural,1
2cb4039d-09d0-4824-8362-e339474d820c,Female,Married,24,Self-employed,6,124320,44332,274094,60,1,424,1012,0.12,Rural,0
6f635e8f-a68b-47a8-9251-49e73e16ca7a,Female,Single,41,Self-employed,24,88361,27585,492803,240,1,311,1242,0.33,Urban,0
07f5cb92-8a76-4d9f-b76f-3ad526b0916f,Female,Married,34,Unemployed,0,0,0,264200,60,0,664,57,0.34,Rural,1
9b92241e-d7d9-49d1-9bcc-89070e7d5c3e,Female,Married,26,Unemployed,0,0,0,270206,180,0,647,1968,0.22,Semi-Urban,1
02d95201-32c2-4429-b740-689d44d059a0,Female,Single,55,Unemployed,0,0,0,296068,300,0,630,1115,0.46,Rural,0
707dd6b3-f943-4353-b988-ceb7894e387d,Female,Single,22,Unemployed,0,0,0,336311,300,1,630,1686,0.4,Rural,1
252975df-4bcb-461d-b172-3843dde6dac4,Male,Single,52,Self-employed,4,119028,44348,488257,120,0,435,239,0.32,Rural,1
e1e49ebb-8fcf-4ecb-b748-83837b4b57c3,Male,Married,32,Employed,30,85665,15412,436251,120,2,720,193,0.22,Semi-Urban,1
17cfebda-009c-464c-9b44-d2684b09042d,Female,Married,47,Employed,5,29612,33651,121876,240,0,425,386,0.22,Urban,1
a070e727-f940-4c05-a31e-3386a51f2938,Male,Single,44,Employed,17,60071,21889,202959,300,0,458,86,0.38,Urban,0
b628def5-b38e-4147-8804-7555aa9b31de,Female,Single,57,Self-employed,1,76438,12714,178440,240,2,323,285,0.33,Rural,1
9b8f9574-a72e-4a4e-af51-15a87a00745f,Female,Married,20,Employed,1,132065,37979,368728,120,0,821,1851,0.27,Semi-Urban,0
4f3232ba-a313-47e4-83f3-d4d460a44815,Female,Married,26,Unemployed,0,0,0,219204,60,0,310,1582,0.2,Rural,0
4bcf35b5-2eb1-422b-9471-8dacb5b8c53f,Female,Single,26,Self-employed,5,20871,30372,301769,240,0,719,336,0.37,Semi-Urban,1
f0a21ef6-9e88-43fd-893f-52dd0364b196,Male,Married,35,Employed,10,127531,24165,136038,60,1,724,780,0.34,Rural,1
0a8975ba-9117-49bf-ab4d-5ab7786b950e,Male,Single,54,Self-employed,20,46700,49703,372073,120,2,452,445,0.43,Rural,1
599438c6-0166-48d6-96fd-34b6fd66d9c9,Female,Single,21,Self-employed,8,109262,17701,112073,120,1,507,1770,0.27,Urban,1
